Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI
2003-05-19,22,41,24.0,11.0
2003-05-20,31,37,3.0,6.0
2003-05-21,43,39,13.0,5.0
2003-05-22,45,42,16.0,6.0
2003-05-23,51,42,20.0,8.0
2003-05-24,43,42,17.0,9.0
2003-05-25,35,41,10.0,7.0
2003-05-26,39,36,39.0,10.0
2003-05-27,42,46,4.0,7.0
2003-05-28,24,44,11.0,7.0
2003-05-29,38,39,3.0,6.0
2003-05-30,34,37,9.0,7.0
2003-05-31,28,27,9.0,7.0
2003-06-01,42,45,19.0,7.0
2003-06-02,32,35,16.0,8.0
2003-06-03,29,38,6.0,7.0
2003-06-04,48,44,6.0,8.0
2003-06-05,60,97,11.0,9.0
2003-06-06,49,24,6.0,10.0
2003-06-07,32,50,17.0,10.0
2003-06-08,18,36,3.0,7.0
2003-06-09,45,47,17.0,7.0
2003-06-10,35,36,24.0,7.0
2003-06-11,30,26,24.0,9.0
2003-06-12,34,42,7.0,9.0
2003-06-13,32,35,6.0,10.0
2003-06-14,38,44,37.0,11.0
2003-06-15,39,71,10.0,13.0
2003-06-16,50,67,17.0,14.0
2003-06-17,47,77,44.0,15.0
2003-06-18,45,100,9.0,14.0
2003-06-19,32,43,9.0,13.0
2003-06-20,42,49,14.0,10.0
2003-06-21,38,74,20.0,13.0
2003-06-22,34,97,26.0,11.0
