id,Year,State_Code,NO2_AQI
42133,2012,42,61
42133,2013,42,53
42133,2014,42,55
42133,2015,42,64
42133,2016,42,56
44007,2011,44,29
44007,2012,44,37
44007,2013,44,52
44007,2014,44,40
44007,2015,44,46
44007,2016,44,45
45019,2003,45,19
45019,2006,45,21
45019,2007,45,23
45019,2008,45,22
45019,2009,45,23
45019,2010,45,15
45079,2016,45,37
46099,2011,46,39
46099,2012,46,42
46099,2013,46,41
46099,2014,46,37
46099,2015,46,36
46127,2013,46,20
47009,2008,47,14
47009,2009,47,12
47009,2010,47,9
47009,2015,47,7
47009,2016,47,6
47075,2002,47,18
47075,2003,47,25
47121,2002,47,29
47121,2003,47,30
48029,2008,48,55
48029,2009,48,48
48029,2010,48,48
48113,2000,48,97
48113,2001,48,72
48113,2002,48,77
48113,2003,48,70
48113,2004,48,73
48113,2005,48,68
48113,2006,48,70
48113,2007,48,82
48113,2008,48,70
48113,2009,48,49
48113,2010,48,66
48113,2011,48,57
48113,2012,48,65
48113,2013,48,61
48113,2014,48,54
48113,2015,48,54
48113,2016,48,74
48141,2000,48,99
48141,2001,48,101
48141,2002,48,111
48141,2003,48,100
48141,2004,48,81
48141,2005,48,82
48141,2006,48,103
48141,2007,48,89
48141,2008,48,88
48141,2009,48,72
48141,2010,48,69
48141,2011,48,71
48141,2012,48,66
48141,2013,48,71
48141,2014,48,68
48141,2015,48,93
48141,2016,48,77
48201,2000,48,101
48201,2001,48,106
48201,2003,48,101
48201,2004,48,76
48201,2005,48,83
48201,2006,48,93
48201,2007,48,70
48201,2008,48,101
48201,2009,48,68
48201,2010,48,68
48201,2011,48,67
48201,2012,48,73
48201,2013,48,66
48201,2014,48,72
48201,2015,48,87
48201,2016,48,54
48309,2007,48,33
48309,2008,48,34
48309,2009,48,34
48309,2010,48,34
48309,2011,48,38
48309,2012,48,30
48309,2013,48,30
48309,2014,48,29
48309,2015,48,32
48309,2016,48,41
48453,2012,48,38
48453,2013,48,42
48453,2014,48,34
49013,2012,49,10
49035,2011,49,66
49035,2012,49,74
49035,2013,49,66
49035,2014,49,55
49035,2015,49,61
49035,2016,49,57
49047,2012,49,16
49047,2013,49,54
51059,2000,51,87
51059,2006,51,68
51059,2007,51,70
51059,2008,51,70
51059,2009,51,58
51087,2010,51,25
51087,2011,51,34
51087,2012,51,38
51087,2013,51,39
51087,2014,51,41
51087,2015,51,39
51087,2016,51,42
51161,2013,51,38
51161,2014,51,26
51161,2015,51,31
51510,2000,51,74
51510,2006,51,53
51510,2007,51,62
51510,2008,51,71
51510,2009,51,57
51510,2010,51,60
51510,2011,51,50
51510,2012,51,53
51510,2013,51,65
51650,2010,51,29
51650,2011,51,26
51650,2012,51,33
51650,2013,51,26
51650,2014,51,22
51650,2015,51,21
53033,2013,53,39
53033,2014,53,42
53033,2015,53,52
53033,2016,53,41
55079,2006,55,49
55079,2007,55,43
56013,2014,56,22
56013,2015,56,17
56021,2011,56,37
56021,2012,56,42
56021,2013,56,41
56021,2014,56,43
56021,2015,56,40
56021,2016,56,37
56037,2011,56,45
56037,2012,56,42
56041,2007,56,29
56041,2008,56,39
80002,2006,80,115
80002,2007,80,112
80002,2008,80,110
80002,2009,80,105
80002,2010,80,103
80002,2011,80,110
