id,Year,State_Code,SO2_AQI
42017,2004,42,54.0
42017,2005,42,65.0
42017,2006,42,49.0
42017,2007,42,69.0
42017,2008,42,44.0
42017,2009,42,52.0
42017,2010,42,44.0
42017,2011,42,21.0
42017,2012,42,26.0
42017,2013,42,26.0
42017,2014,42,20.0
42021,2000,42,110.0
42021,2001,42,112.0
42021,2002,42,107.0
42021,2003,42,113.0
42021,2004,42,177.0
42021,2005,42,116.0
42021,2006,42,119.0
42021,2007,42,97.0
42021,2008,42,109.0
42021,2009,42,109.0
42021,2010,42,99.0
42021,2011,42,70.0
42021,2012,42,97.0
42021,2013,42,65.0
42021,2014,42,81.0
42021,2015,42,85.0
42021,2016,42,81.0
42043,2006,42,128.0
42043,2007,42,103.0
42043,2008,42,123.0
42049,2005,42,109.0
42049,2006,42,70.0
42049,2007,42,55.0
42049,2008,42,44.0
42049,2009,42,56.0
42049,2010,42,43.0
42049,2011,42,41.0
42049,2012,42,36.0
42049,2013,42,26.0
42049,2014,42,20.0
42049,2015,42,54.0
42049,2016,42,11.0
42069,2000,42,62.0
42069,2001,42,66.0
42069,2002,42,49.0
42069,2003,42,55.0
42069,2004,42,50.0
42069,2005,42,71.0
42069,2006,42,100.0
42069,2007,42,37.0
42069,2008,42,33.0
42071,2000,42,79.0
42071,2001,42,54.0
42071,2002,42,74.0
42071,2003,42,102.0
42071,2004,42,102.0
42071,2005,42,107.0
42071,2006,42,112.0
42071,2007,42,105.0
42071,2008,42,70.0
42073,2000,42,124.0
42073,2001,42,195.0
42073,2002,42,119.0
42073,2003,42,110.0
42073,2004,42,136.0
42073,2005,42,117.0
42073,2006,42,101.0
42073,2007,42,138.0
42073,2008,42,92.0
42079,2006,42,44.0
42079,2007,42,65.0
42079,2008,42,39.0
42091,2000,42,44.0
42091,2001,42,67.0
42091,2002,42,54.0
42091,2003,42,47.0
42091,2004,42,54.0
42091,2005,42,44.0
42091,2006,42,36.0
42091,2007,42,50.0
42091,2008,42,40.0
42095,2000,42,59.0
42095,2001,42,60.0
42095,2002,42,67.0
42095,2003,42,46.0
42095,2004,42,64.0
42095,2005,42,108.0
42095,2006,42,82.0
42095,2007,42,81.0
42095,2008,42,50.0
42101,2000,42,89.0
42101,2001,42,72.0
42101,2002,42,85.0
42101,2003,42,110.0
42101,2004,42,138.0
42101,2005,42,76.0
42101,2006,42,64.0
42101,2007,42,64.0
42101,2008,42,57.0
42101,2009,42,57.0
42101,2010,42,34.0
42101,2011,42,19.0
42101,2012,42,23.0
42101,2013,42,13.0
42101,2014,42,17.0
42125,2000,42,110.0
42125,2001,42,122.0
42125,2002,42,105.0
42125,2003,42,126.0
42125,2004,42,113.0
42125,2005,42,119.0
42125,2006,42,103.0
42125,2007,42,113.0
42125,2008,42,100.0
42125,2009,42,118.0
42125,2010,42,39.0
42125,2011,42,64.0
42125,2012,42,31.0
42125,2013,42,39.0
42125,2014,42,82.0
42125,2015,42,81.0
42129,2000,42,110.0
42129,2001,42,112.0
42129,2002,42,82.0
42129,2003,42,139.0
42129,2004,42,99.0
